"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"LDL_CE","Cholesteryl Esters in LDL","BC","0.946(95% CI:0.822-1.089; P=0.4366047768)","1.005(95% CI:0.982-1.028; P=0.6780670706)","0.995(95% CI:0.855-1.158; P=0.947544199)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_FC","Free Cholesterol in LDL","BC","0.926(95% CI:0.807-1.061; P=0.2681976602)","0.997(95% CI:0.974-1.019; P=0.7717479401)","0.965(95% CI:0.831-1.12; P=0.6379543013)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_L","Total Lipids in LDL","BC","0.95(95% CI:0.825-1.095; P=0.4793678409)","1.005(95% CI:0.982-1.028; P=0.6750569926)","0.996(95% CI:0.855-1.159; P=0.9556658923)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_PL","Phospholipids in LDL","BC","0.951(95% CI:0.827-1.094; P=0.4854100736)","1.004(95% CI:0.981-1.027; P=0.743628768)","0.992(95% CI:0.852-1.154; P=0.9165651554)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_TG","Triglycerides in LDL","BC","1.084(95% CI:0.944-1.245; P=0.2509806288)","1.025(95% CI:1.002-1.049; P=0.0334741076)","1.081(95% CI:0.932-1.255; P=0.3026464365)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Leu","Leucine","BC","1.023(95% CI:0.901-1.162; P=0.7256745916)","1.019(95% CI:0.996-1.042; P=0.1008003129)","1.102(95% CI:0.955-1.272; P=0.1820610348)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_C","Cholesterol in Medium HDL","BC","0.983(95% CI:0.857-1.127; P=0.8040771024)","0.982(95% CI:0.959-1.006; P=0.1486063672)","0.977(95% CI:0.836-1.142; P=0.7718208724)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_CE","Cholesteryl Esters in Medium HDL","BC","0.979(95% CI:0.854-1.122; P=0.757057808)","0.981(95% CI:0.958-1.006; P=0.1302151727)","0.972(95% CI:0.831-1.136; P=0.7213755399)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_FC","Free Cholesterol in Medium HDL","BC","0.998(95% CI:0.869-1.145; P=0.9720726114)","0.987(95% CI:0.964-1.012; P=0.3041122558)","0.993(95% CI:0.85-1.16; P=0.9287344218)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_PL","Phospholipids in Medium HDL","BC","1.012(95% CI:0.883-1.161; P=0.8616633005)","0.992(95% CI:0.969-1.016; P=0.5047396233)","1.019(95% CI:0.875-1.187; P=0.8052783518)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_TG","Triglycerides in Medium HDL","BC","1.061(95% CI:0.928-1.214; P=0.3868035671)","1.018(95% CI:0.995-1.041; P=0.1275747753)","1.069(95% CI:0.922-1.239; P=0.3771084958)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_C","Cholesterol in Medium LDL","BC","0.962(95% CI:0.837-1.107; P=0.5929326476)","1.007(95% CI:0.985-1.031; P=0.530573503)","1.007(95% CI:0.865-1.173; P=0.9246870206)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_CE","Cholesteryl Esters in Medium LDL","BC","0.976(95% CI:0.848-1.123; P=0.7354057526)","1.01(95% CI:0.987-1.034; P=0.3809798811)","1.021(95% CI:0.876-1.191; P=0.789880487)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_FC","Free Cholesterol in Medium LDL","BC","0.926(95% CI:0.808-1.062; P=0.27252278)","0.999(95% CI:0.977-1.021; P=0.9124685706)","0.967(95% CI:0.832-1.123; P=0.657331312)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_PL","Phospholipids in Medium LDL","BC","0.959(95% CI:0.834-1.104; P=0.5606884897)","1.005(95% CI:0.983-1.028; P=0.6475290314)","1.002(95% CI:0.86-1.166; P=0.9837207267)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_TG","Triglycerides in Medium LDL","BC","1.092(95% CI:0.955-1.25; P=0.1996018123)","1.025(95% CI:1.002-1.049; P=0.0322979483)","1.088(95% CI:0.94-1.26; P=0.259833818)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_VLDL_C","Cholesterol in Medium VLDL","BC","0.955(95% CI:0.831-1.097; P=0.5136831932)","1.005(95% CI:0.983-1.028; P=0.6403987144)","0.992(95% CI:0.853-1.154; P=0.921748286)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_VLDL_CE","Cholesteryl Esters in Medium VLDL","BC","0.937(95% CI:0.818-1.074; P=0.3502961903)","1.001(95% CI:0.979-1.024; P=0.9436286323)","0.969(95% CI:0.834-1.125; P=0.678437252)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_VLDL_FC","Free Cholesterol in Medium VLDL","BC","0.979(95% CI:0.852-1.126; P=0.7677505198)","1.011(95% CI:0.989-1.035; P=0.3299842372)","1.021(95% CI:0.876-1.189; P=0.7915841059)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
