"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"Total_C","Total Cholesterol","CRC","1.023(95% CI:0.914-1.143; P=0.69568683)","0.979(95% CI:0.951-1.007; P=0.1350070139)","0.972(95% CI:0.855-1.105; P=0.6635911586)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_CE","Total Esterified Cholesterol","CRC","1.022(95% CI:0.914-1.143; P=0.7015439895)","0.977(95% CI:0.949-1.005; P=0.1075611658)","0.972(95% CI:0.855-1.105; P=0.6632655597)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_FA","Total Fatty Acids","CRC","1.006(95% CI:0.892-1.134; P=0.9209141321)","1.028(95% CI:0.999-1.057; P=0.0595555597)","1.004(95% CI:0.878-1.148; P=0.9517522335)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_FC","Total Free Cholesterol","CRC","1.018(95% CI:0.911-1.138; P=0.7514562389)","0.984(95% CI:0.957-1.013; P=0.2759189092)","0.969(95% CI:0.853-1.102; P=0.6319380912)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_L","Total Lipids in Lipoprotein Particles","CRC","1.022(95% CI:0.911-1.148; P=0.7076122119)","1.002(95% CI:0.974-1.031; P=0.8968581895)","0.993(95% CI:0.871-1.131; P=0.9099522077)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_PL","Total Phospholipids in Lipoprotein Particles","CRC","1.011(95% CI:0.899-1.137; P=0.8538435004)","1.003(95% CI:0.973-1.033; P=0.8685892963)","0.992(95% CI:0.869-1.132; P=0.9026002206)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_TG","Total Triglycerides","CRC","1.01(95% CI:0.899-1.135; P=0.8659162584)","1.035(95% CI:1.005-1.066; P=0.0204688924)","1.019(95% CI:0.889-1.169; P=0.7843746024)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Tyr","Tyrosine","CRC","0.946(95% CI:0.847-1.056; P=0.3214659735)","0.991(95% CI:0.964-1.02; P=0.5532769274)","0.969(95% CI:0.851-1.103; P=0.6328169889)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Unsaturation","Degree of Unsaturation","CRC","0.955(95% CI:0.859-1.063; P=0.4026531256)","0.926(95% CI:0.898-0.953; P=0.0000003202)","0.95(95% CI:0.832-1.085; P=0.4515123426)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Val","Valine","CRC","0.88(95% CI:0.782-0.99; P=0.0334564587)","0.958(95% CI:0.93-0.988; P=0.0056655844)","0.903(95% CI:0.786-1.038; P=0.1498230607)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_C","VLDL Cholesterol","CRC","1.007(95% CI:0.898-1.129; P=0.9023115608)","0.999(95% CI:0.971-1.027; P=0.9423464529)","0.963(95% CI:0.845-1.099; P=0.5765869498)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_CE","Cholesteryl Esters in VLDL","CRC","1.004(95% CI:0.897-1.124; P=0.9415804795)","0.991(95% CI:0.964-1.019; P=0.5186828189)","0.954(95% CI:0.838-1.087; P=0.4785633567)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_FC","Free Cholesterol in VLDL","CRC","1.009(95% CI:0.901-1.131; P=0.8722190943)","1.011(95% CI:0.983-1.04; P=0.45255525)","0.976(95% CI:0.854-1.115; P=0.7190830846)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_L","Total Lipids in VLDL","CRC","1.014(95% CI:0.901-1.141; P=0.8194732413)","1.023(95% CI:0.993-1.053; P=0.1336657965)","0.999(95% CI:0.871-1.145; P=0.9832273571)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_PL","Phospholipids in VLDL","CRC","1.01(95% CI:0.899-1.133; P=0.8717672224)","1.017(95% CI:0.988-1.046; P=0.2605762288)","0.984(95% CI:0.86-1.125; P=0.8093744815)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_TG","Triglycerides in VLDL","CRC","1.023(95% CI:0.911-1.148; P=0.7010160758)","1.036(95% CI:1.006-1.066; P=0.0198091246)","1.032(95% CI:0.899-1.183; P=0.6568948274)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_C","Cholesterol in Very Large HDL","CRC","1.019(95% CI:0.905-1.147; P=0.7580535425)","1.008(95% CI:0.975-1.043; P=0.6264342556)","1.063(95% CI:0.922-1.225; P=0.3984637436)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_CE","Cholesteryl Esters in Very Large HDL","CRC","1.024(95% CI:0.909-1.153; P=0.695431995)","1.007(95% CI:0.973-1.041; P=0.6954208505)","1.072(95% CI:0.93-1.236; P=0.3379744166)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_FC","Free Cholesterol in Very Large HDL","CRC","1.003(95% CI:0.893-1.126; P=0.9615344346)","1.014(95% CI:0.982-1.047; P=0.3905219191)","1.033(95% CI:0.9-1.185; P=0.6488506661)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_PL","Phospholipids in Very Large HDL","CRC","1.014(95% CI:0.899-1.144; P=0.8203457593)","1.016(95% CI:0.982-1.05; P=0.3567731469)","1.068(95% CI:0.926-1.231; P=0.3647070875)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_TG","Triglycerides in Very Large HDL","CRC","0.987(95% CI:0.881-1.107; P=0.8266874667)","1.036(95% CI:1.008-1.064; P=0.0111715752)","1.013(95% CI:0.892-1.151; P=0.8398827592)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_C","Cholesterol in Very Large VLDL","CRC","1.013(95% CI:0.904-1.136; P=0.8199584566)","1.019(95% CI:0.99-1.05; P=0.194260037)","0.989(95% CI:0.864-1.134; P=0.878559038)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_CE","Cholesteryl Esters in Very Large VLDL","CRC","1.016(95% CI:0.907-1.138; P=0.7862373147)","1.008(95% CI:0.979-1.037; P=0.6026519827)","0.981(95% CI:0.857-1.123; P=0.7767347276)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_FC","Free Cholesterol in Very Large VLDL","CRC","1.01(95% CI:0.902-1.132; P=0.8579701475)","1.031(95% CI:1.001-1.061; P=0.0393497792)","1(95% CI:0.873-1.145; P=0.9978863973)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_PL","Phospholipids in Very Large VLDL","CRC","1.013(95% CI:0.904-1.134; P=0.8276118688)","1.034(95% CI:1.004-1.064; P=0.0251385452)","1.007(95% CI:0.879-1.153; P=0.9220517913)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_TG","Triglycerides in Very Large VLDL","CRC","1.019(95% CI:0.911-1.141; P=0.7374812839)","1.042(95% CI:1.012-1.072; P=0.0055872782)","1.029(95% CI:0.898-1.177; P=0.6839040057)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_C","Cholesterol in Very Small VLDL","CRC","0.978(95% CI:0.875-1.094; P=0.6985926917)","0.982(95% CI:0.955-1.011; P=0.2157534758)","0.926(95% CI:0.814-1.054; P=0.2430136225)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_CE","Cholesteryl Esters in Very Small VLDL","CRC","0.979(95% CI:0.877-1.094; P=0.7076637809)","0.978(95% CI:0.95-1.006; P=0.1203671409)","0.922(95% CI:0.81-1.048; P=0.2140711594)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_FC","Free Cholesterol in Very Small VLDL","CRC","0.975(95% CI:0.871-1.092; P=0.6670436302)","0.994(95% CI:0.967-1.023; P=0.6983080519)","0.936(95% CI:0.821-1.067; P=0.3216039451)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_PL","Phospholipids in Very Small VLDL","CRC","0.972(95% CI:0.866-1.09; P=0.6229235606)","1.005(95% CI:0.977-1.033; P=0.73790191)","0.941(95% CI:0.825-1.074; P=0.3683517366)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_TG","Triglycerides in Very Small VLDL","CRC","0.978(95% CI:0.871-1.098; P=0.7078379981)","1.03(95% CI:1.001-1.059; P=0.0396878121)","0.986(95% CI:0.863-1.125; P=0.8306354736)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_C","Cholesterol in Chylomicrons and Extremely Large VLDL","CRC","1.004(95% CI:0.896-1.123; P=0.9502756881)","1.037(95% CI:1.008-1.067; P=0.0123563231)","1.012(95% CI:0.884-1.158; P=0.8624952874)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_CE","Cholesteryl Esters in Chylomicrons and Extremely Large VLDL","CRC","1.009(95% CI:0.901-1.129; P=0.8820211234)","1.032(95% CI:1.003-1.062; P=0.0300859153)","1.015(95% CI:0.887-1.162; P=0.8233587852)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_FC","Free Cholesterol in Chylomicrons and Extremely Large VLDL","CRC","0.996(95% CI:0.89-1.114; P=0.9421569455)","1.042(95% CI:1.013-1.072; P=0.0038136192)","1.006(95% CI:0.88-1.151; P=0.9288953983)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_PL","Phospholipids in Chylomicrons and Extremely Large VLDL","CRC","0.997(95% CI:0.891-1.114; P=0.9541965121)","1.043(95% CI:1.015-1.073; P=0.0029589557)","1.009(95% CI:0.883-1.154; P=0.8896640557)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_TG","Triglycerides in Chylomicrons and Extremely Large VLDL","CRC","1.007(95% CI:0.901-1.125; P=0.9056856508)","1.047(95% CI:1.018-1.076; P=0.0013296243)","1.016(95% CI:0.889-1.161; P=0.8200061017)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetate","Acetate","LC","1.073(95% CI:1.026-1.121; P=0.0018801456)","1.016(95% CI:0.991-1.041; P=0.2215542199)","1.08(95% CI:1.025-1.138; P=0.0037872293)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetoacetate","Acetoacetate","LC","1.122(95% CI:0.996-1.263; P=0.0575340561)","1.062(95% CI:1.036-1.088; P=0.0000012214)","1.145(95% CI:1.016-1.291; P=0.0266163762)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetone","Acetone","LC","1.092(95% CI:0.947-1.258; P=0.2256172999)","1.048(95% CI:1.021-1.076; P=0.0004859351)","1.127(95% CI:0.979-1.296; P=0.0952833599)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ala","Alanine","LC","0.904(95% CI:0.76-1.075; P=0.2521256369)","0.961(95% CI:0.928-0.996; P=0.027288665)","0.867(95% CI:0.708-1.062; P=0.1677407789)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Albumin","Albumin","LC","1.038(95% CI:0.868-1.241; P=0.6805485043)","0.844(95% CI:0.816-0.873; P=0)","1.009(95% CI:0.83-1.227; P=0.9266748905)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoA1","Apolipoprotein A1","LC","1.035(95% CI:0.865-1.239; P=0.7073637795)","0.932(95% CI:0.896-0.97; P=0.0005810412)","1.017(95% CI:0.827-1.249; P=0.8758879117)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoB","Apolipoprotein B","LC","0.905(95% CI:0.764-1.071; P=0.2454299883)","0.87(95% CI:0.841-0.9; P=0)","0.906(95% CI:0.75-1.095; P=0.3062760437)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"bOHbutyrate","3-Hydroxybutyrate","LC","1.119(95% CI:0.978-1.281; P=0.1023544386)","1.08(95% CI:1.051-1.111; P=0.0000000616)","1.139(95% CI:0.986-1.315; P=0.0763291091)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Cholines","Total Cholines","LC","0.989(95% CI:0.824-1.186; P=0.9043643396)","0.887(95% CI:0.855-0.92; P=0.0000000002)","0.983(95% CI:0.805-1.2; P=0.8672543984)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Citrate","Citrate","LC","0.963(95% CI:0.798-1.162; P=0.6931658924)","0.976(95% CI:0.941-1.011; P=0.1741375699)","1.012(95% CI:0.816-1.255; P=0.9125910745)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Clinical_LDL_C","Clinical LDL Cholesterol","LC","0.849(95% CI:0.724-0.997; P=0.0460557159)","0.845(95% CI:0.818-0.873; P=0)","0.848(95% CI:0.708-1.015; P=0.0722384325)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Creatinine","Creatinine","LC","0.984(95% CI:0.819-1.183; P=0.86629659)","1.01(95% CI:0.973-1.049; P=0.5934216242)","0.951(95% CI:0.762-1.187; P=0.657772221)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"DHA","Docosahexaenoic Acid","LC","0.925(95% CI:0.779-1.1; P=0.3789162798)","0.851(95% CI:0.819-0.885; P=0)","0.902(95% CI:0.736-1.105; P=0.3170391434)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gln","Glutamine","LC","0.949(95% CI:0.798-1.13; P=0.5583995356)","0.977(95% CI:0.944-1.012; P=0.1931267417)","0.929(95% CI:0.762-1.132; P=0.4648820632)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Glucose","Glucose","LC","0.951(95% CI:0.806-1.121; P=0.5477285329)","1.005(95% CI:0.972-1.04; P=0.7521262374)","1.008(95% CI:0.837-1.216; P=0.9297517786)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gly","Glycine","LC","1.017(95% CI:0.852-1.214; P=0.8482629803)","0.957(95% CI:0.921-0.995; P=0.0276677844)","0.937(95% CI:0.757-1.159; P=0.5483450031)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"GlycA","Glycoprotein Acetyls","LC","1.271(95% CI:1.074-1.504; P=0.0052231377)","1.266(95% CI:1.222-1.312; P=0)","1.203(95% CI:0.985-1.469; P=0.0704843279)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_C","HDL Cholesterol","LC","0.967(95% CI:0.805-1.161; P=0.718317908)","0.908(95% CI:0.87-0.947; P=0.0000060983)","0.935(95% CI:0.754-1.161; P=0.5432497276)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_CE","Cholesteryl Esters in HDL","LC","0.958(95% CI:0.799-1.149; P=0.6444385432)","0.907(95% CI:0.87-0.946; P=0.0000047083)","0.926(95% CI:0.746-1.148; P=0.4820530952)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_FC","Free Cholesterol in HDL","LC","0.995(95% CI:0.829-1.194; P=0.952875324)","0.918(95% CI:0.88-0.958; P=0.0000743615)","0.967(95% CI:0.783-1.195; P=0.7581082612)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_L","Total Lipids in HDL","LC","1.024(95% CI:0.853-1.23; P=0.7968346941)","0.939(95% CI:0.902-0.979; P=0.0028003189)","1(95% CI:0.811-1.234; P=0.9987481101)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_PL","Phospholipids in HDL","LC","1.042(95% CI:0.869-1.249; P=0.6572877305)","0.965(95% CI:0.926-1.004; P=0.0801377046)","1.02(95% CI:0.83-1.254; P=0.8503271929)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_TG","Triglycerides in HDL","LC","1.176(95% CI:0.997-1.388; P=0.0540530611)","1.041(95% CI:1.006-1.077; P=0.0213481416)","1.184(95% CI:0.985-1.424; P=0.0723658804)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"His","Histidine","LC","0.928(95% CI:0.784-1.099; P=0.3860974981)","0.9(95% CI:0.867-0.934; P=0.000000022)","0.817(95% CI:0.674-0.991; P=0.0397876599)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_C","Cholesterol in IDL","LC","0.863(95% CI:0.732-1.019; P=0.0822306432)","0.844(95% CI:0.816-0.873; P=0)","0.855(95% CI:0.709-1.03; P=0.0998383132)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_CE","Cholesteryl Esters in IDL","LC","0.874(95% CI:0.74-1.033; P=0.1144441227)","0.84(95% CI:0.812-0.87; P=0)","0.868(95% CI:0.719-1.047; P=0.1383574506)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_FC","Free Cholesterol in IDL","LC","0.838(95% CI:0.71-0.99; P=0.037287974)","0.857(95% CI:0.828-0.887; P=0)","0.825(95% CI:0.682-0.998; P=0.0473944503)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_PL","Phospholipids in IDL","LC","0.874(95% CI:0.738-1.035; P=0.1176166649)","0.87(95% CI:0.84-0.901; P=0)","0.872(95% CI:0.721-1.055; P=0.1582410655)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_TG","Triglycerides in IDL","LC","1.169(95% CI:0.992-1.378; P=0.0627866698)","1.04(95% CI:1.005-1.076; P=0.0244885265)","1.18(95% CI:0.989-1.408; P=0.065932923)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ile","Isoleucine","LC","0.889(95% CI:0.748-1.056; P=0.1802111447)","1.002(95% CI:0.967-1.037; P=0.933307605)","0.853(95% CI:0.693-1.05; P=0.1337392878)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_C","Cholesterol in Large HDL","LC","0.964(95% CI:0.801-1.161; P=0.7000820894)","0.926(95% CI:0.887-0.967; P=0.0005044067)","0.919(95% CI:0.736-1.149; P=0.4603803354)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_CE","Cholesteryl Esters in Large HDL","LC","0.961(95% CI:0.798-1.157; P=0.6767746497)","0.922(95% CI:0.883-0.963; P=0.0002534674)","0.917(95% CI:0.733-1.146; P=0.4442785836)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_FC","Free Cholesterol in Large HDL","LC","0.969(95% CI:0.806-1.165; P=0.7396829141)","0.939(95% CI:0.899-0.98; P=0.0039514553)","0.924(95% CI:0.741-1.152; P=0.4803019034)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_PL","Phospholipids in Large HDL","LC","1.006(95% CI:0.837-1.209; P=0.9496309736)","0.964(95% CI:0.923-1.005; P=0.0867505619)","0.963(95% CI:0.775-1.196; P=0.7328370584)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_TG","Triglycerides in Large HDL","LC","1.146(95% CI:0.974-1.349; P=0.1000896961)","1.018(95% CI:0.983-1.054; P=0.3204556873)","1.131(95% CI:0.947-1.352; P=0.1745657475)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_C","Cholesterol in Large LDL","LC","0.844(95% CI:0.717-0.993; P=0.0412036321)","0.839(95% CI:0.811-0.867; P=0)","0.842(95% CI:0.7-1.012; P=0.0674893733)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_CE","Cholesteryl Esters in Large LDL","LC","0.85(95% CI:0.721-1.002; P=0.0525900233)","0.842(95% CI:0.814-0.871; P=0)","0.85(95% CI:0.706-1.024; P=0.0874492812)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_FC","Free Cholesterol in Large LDL","LC","0.83(95% CI:0.705-0.977; P=0.0254770053)","0.833(95% CI:0.805-0.862; P=0)","0.824(95% CI:0.683-0.993; P=0.0423612738)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_PL","Phospholipids in Large LDL","LC","0.863(95% CI:0.731-1.019; P=0.0820378122)","0.848(95% CI:0.819-0.877; P=0)","0.866(95% CI:0.717-1.045; P=0.1332163216)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_TG","Triglycerides in Large LDL","LC","1.169(95% CI:0.992-1.379; P=0.0626608849)","1.03(95% CI:0.996-1.066; P=0.0877602462)","1.193(95% CI:1-1.423; P=0.0496430134)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_C","Cholesterol in Large VLDL","LC","1.052(95% CI:0.884-1.252; P=0.5659045532)","0.954(95% CI:0.92-0.989; P=0.0102142171)","1.061(95% CI:0.871-1.294; P=0.5560234076)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_CE","Cholesteryl Esters in Large VLDL","LC","1.03(95% CI:0.867-1.224; P=0.7327336614)","0.937(95% CI:0.904-0.97; P=0.0002911536)","1.035(95% CI:0.851-1.259; P=0.7276543717)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_FC","Free Cholesterol in Large VLDL","LC","1.071(95% CI:0.901-1.273; P=0.4357458381)","0.972(95% CI:0.938-1.008; P=0.129750576)","1.086(95% CI:0.891-1.324; P=0.4126387821)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_PL","Phospholipids in Large VLDL","LC","1.093(95% CI:0.921-1.298; P=0.3076828847)","0.986(95% CI:0.951-1.022; P=0.4302694457)","1.107(95% CI:0.909-1.348; P=0.3116949469)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_TG","Triglycerides in Large VLDL","LC","1.069(95% CI:0.901-1.268; P=0.4450643202)","0.977(95% CI:0.943-1.013; P=0.2112786657)","1.075(95% CI:0.882-1.31; P=0.4761010167)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LA","Linoleic Acid","LC","1.015(95% CI:0.854-1.207; P=0.8628835759)","0.84(95% CI:0.812-0.869; P=0)","1.012(95% CI:0.834-1.229; P=0.9003825281)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Lactate","Lactate","LC","1.057(95% CI:0.893-1.251; P=0.5226874253)","1.123(95% CI:1.084-1.164; P=0.0000000001)","1.045(95% CI:0.858-1.274; P=0.6589400385)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_C","LDL Cholesterol","LC","0.856(95% CI:0.727-1.008; P=0.0626357595)","0.845(95% CI:0.817-0.873; P=0)","0.857(95% CI:0.713-1.03; P=0.1004291337)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_CE","Cholesteryl Esters in LDL","LC","0.867(95% CI:0.734-1.023; P=0.0910592657)","0.85(95% CI:0.822-0.879; P=0)","0.87(95% CI:0.722-1.049; P=0.1455453308)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_FC","Free Cholesterol in LDL","LC","0.833(95% CI:0.709-0.979; P=0.0268940406)","0.834(95% CI:0.807-0.863; P=0)","0.828(95% CI:0.689-0.996; P=0.0452464408)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_L","Total Lipids in LDL","LC","0.872(95% CI:0.739-1.029; P=0.1059510761)","0.851(95% CI:0.824-0.88; P=0)","0.877(95% CI:0.728-1.056; P=0.1651205322)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_PL","Phospholipids in LDL","LC","0.876(95% CI:0.742-1.034; P=0.1178231944)","0.851(95% CI:0.823-0.88; P=0)","0.882(95% CI:0.731-1.064; P=0.1885063444)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_TG","Triglycerides in LDL","LC","1.17(95% CI:0.991-1.381; P=0.0638107096)","1.025(95% CI:0.991-1.061; P=0.1514505778)","1.195(95% CI:0.998-1.43; P=0.0527128344)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Leu","Leucine","LC","0.862(95% CI:0.724-1.025; P=0.093276673)","0.992(95% CI:0.957-1.029; P=0.6709624098)","0.822(95% CI:0.667-1.011; P=0.0635594108)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_C","Cholesterol in Medium HDL","LC","1.01(95% CI:0.846-1.207; P=0.9097549677)","0.946(95% CI:0.91-0.985; P=0.0064491794)","0.989(95% CI:0.805-1.216; P=0.9193325948)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_CE","Cholesteryl Esters in Medium HDL","LC","1.005(95% CI:0.842-1.2; P=0.9544021893)","0.948(95% CI:0.912-0.987; P=0.0084823727)","0.984(95% CI:0.801-1.208; P=0.8746976489)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_FC","Free Cholesterol in Medium HDL","LC","1.025(95% CI:0.858-1.226; P=0.7824940136)","0.942(95% CI:0.905-0.981; P=0.0039454396)","1.009(95% CI:0.822-1.238; P=0.9335817178)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_PL","Phospholipids in Medium HDL","LC","1.072(95% CI:0.899-1.278; P=0.4375887033)","0.992(95% CI:0.955-1.03; P=0.6664042967)","1.067(95% CI:0.874-1.302; P=0.5264930947)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_HDL_TG","Triglycerides in Medium HDL","LC","1.169(95% CI:0.992-1.377; P=0.0623899272)","1.049(95% CI:1.014-1.086; P=0.0055338878)","1.181(95% CI:0.983-1.419; P=0.0754765485)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_C","Cholesterol in Medium LDL","LC","0.886(95% CI:0.749-1.049; P=0.1597496412)","0.858(95% CI:0.829-0.887; P=0)","0.896(95% CI:0.741-1.084; P=0.2589603574)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_CE","Cholesteryl Esters in Medium LDL","LC","0.907(95% CI:0.765-1.077; P=0.2659010577)","0.869(95% CI:0.84-0.899; P=0)","0.922(95% CI:0.76-1.118; P=0.4076914536)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_FC","Free Cholesterol in Medium LDL","LC","0.843(95% CI:0.716-0.993; P=0.0413371132)","0.837(95% CI:0.809-0.866; P=0)","0.844(95% CI:0.7-1.018; P=0.076511188)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_PL","Phospholipids in Medium LDL","LC","0.9(95% CI:0.76-1.066; P=0.2226453896)","0.857(95% CI:0.829-0.887; P=0)","0.913(95% CI:0.754-1.105; P=0.3507933807)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_LDL_TG","Triglycerides in Medium LDL","LC","1.172(95% CI:0.997-1.379; P=0.0548138784)","1.017(95% CI:0.983-1.052; P=0.3398619145)","1.199(95% CI:1.004-1.432; P=0.0450671088)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
